Review_Year,Complaint_Type,Event_Date,Location,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,PSS_Finding,CRB_Finding,CRB_Individual_Sustained,CRB_Split,Chief_Finding,Chief_Individual_Sustained,CRB_Chief,Concurrence,Chief,Exclusion,Chief_Action_Sustained,Chief_Allegation_Sustained,Chief_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,Notes,FID
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.10,14-0557.02.B,10,14-0557.02,Procedure,23,14-0557,49,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,473
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.11,14-0557.02.B,11,14-0557.02,Procedure,24,14-0557,50,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,474
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.12,14-0557.02.B,12,14-0557.02,Procedure,25,14-0557,51,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,475
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.13,14-0557.02.B,13,14-0557.02,Procedure,26,14-0557,52,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,476
2015,Citizen,2012-11-05T00:00:00.000Z,350 Flower City Park,231,15-0008.01.A.01,15-0008.01.A,1,15-0008.01,Force,1,15-0008,1,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,477
2015,Citizen,2012-11-05T00:00:00.000Z,350 Flower City Park,231,15-0008.02.A.01,15-0008.02.A,1,15-0008.02,Procedure,1,15-0008,2,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,478
2015,Citizen,2012-11-05T00:00:00.000Z,350 Flower City Park,231,15-0008.02.A.02,15-0008.02.A,2,15-0008.02,Procedure,2,15-0008,3,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,479
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.01.A.01,14-0475.01.A,1,14-0475.01,Procedure,1,14-0475,1,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,480
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.01.A.02,14-0475.01.A,2,14-0475.01,Procedure,2,14-0475,2,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,481
2016,Internal,2014-09-26T00:00:00.000Z,205 Sawyer St,253,14-0787.02.B.01,14-0787.02.B,1,14-0787.02,Procedure,4,14-0787,15,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,0,0,1,1,,482
